,place_name,tour_element,tour_element_name,,,,,,,,,,,,
102,달마사,음식점,찌개대학부대과,,,,,,,,,,,,
103,달마사,음식점,태능솔밭갈비,,,,,,,,,,,,
104,달마사,음식점,이모네식당,,,,,,,,,,,,
105,달마사,음식점,탕화쿵푸 숭실대점,,,,,,,,,,,,
106,달마사,음식점,신룽푸마라탕 숭실대점,,,,,,,,,,,,
107,달마사,음식점,북경,,,,,,,,,,,,
108,달마사,음식점,진미순대,,,,,,,,,,,,
109,달마사,음식점,다락,,,,,,,,,,,,
110,달마사,음식점,쿡친 상도점,,,,,,,,,,,,
111,달마사,음식점,소문난순대집,,,,,,,,,,,,
112,달마사,음식점,신참떡볶이 상도역점,,,,,,,,,,,,
113,달마사,음식점,우리도한번잘구워보세 중앙대후문점,,,,,,,,,,,,
114,달마사,음식점,연래춘,,,,,,,,,,,,
115,달마사,음식점,안동생고기 뭉티기,,,,,,,,,,,,
116,달마사,음식점,,,,,,,,,,,,,
117,달마사,음식점,큰맘할매순대국 숭실대점,,,,,,,,,,,,
118,달마사,음식점,족발슈퍼 동작상도점,,,,,,,,,,,,
119,달마사,음식점,겹,,,,,,,,,,,,
120,달마사,음식점,삼오집 현대본점,,,,,,,,,,,,
121,달마사,음식점,왕돈까스왕냉면 숭실대점,,,,,,,,,,,,
122,달마사,음식점,상도국수,,,,,,,,,,,,
123,달마사,음식점,종가댁마늘곱창,,,,,,,,,,,,
124,달마사,음식점,봉추찜닭 중앙대점,,,,,,,,,,,,
125,달마사,음식점,봉구스밥버거 중앙대후문점,,,,,,,,,,,,
126,달마사,음식점,중앙순대,,,,,,,,,,,,
127,달마사,음식점,양쉐프,,,,,,,,,,,,
128,달마사,음식점,구공탄불고기,,,,,,,,,,,,
129,달마사,음식점,요런떡볶이 상도점,,,,,,,,,,,,
130,달마사,음식점,밀피유플러스356,,,,,,,,,,,,
131,달마사,음식점,이모네참족발보쌈 본점,,,,,,,,,,,,
132,달마사,음식점,기꾸참치중대점,,,,,,,,,,,,
133,달마사,음식점,정정아식당 중앙대직영점,,,,,,,,,,,,
134,달마사,음식점,고향한방삼계탕,,,,,,,,,,,,
135,달마사,음식점,육쌈냉면 중앙대점,,,,,,,,,,,,
136,달마사,음식점,등촌샤브칼국수중대점,,,,,,,,,,,,
137,달마사,음식점,풍년집정육식당 숭실대분점,,,,,,,,,,,,
138,달마사,음식점,초밥이야기,,,,,,,,,,,,
139,달마사,음식점,구이와찌개,,,,,,,,,,,,
140,달마사,음식점,우리보쌈&밥상,,,,,,,,,,,,
141,달마사,음식점,만복국수집 숭실대역점,,,,,,,,,,,,
142,달마사,음식점,항아리수제비,,,,,,,,,,,,
143,달마사,음식점,배달삼겹 돼지되지 상도점,,,,,,,,,,,,
144,달마사,음식점,명동족발,,,,,,,,,,,,
145,달마사,음식점,맛구이촌,,,,,,,,,,,,
146,달마사,음식점,부산집,,,,,,,,,,,,
147,달마사,음식점,일이삼식당,,,,,,,,,,,,
148,달마사,음식점,파라다이스,,,,,,,,,,,,
149,달마사,음식점,봉구스밥버거 숭실대점,,,,,,,,,,,,
