,place_name,review
0,해동 용궁사,6667
1,부석사,2291
2,오어사,591
3,경주 동궁과 월지,5402
4,전주한옥마을 ,94
5,향일암(여수),6
6,경복궁,8744
7,만어사,2391
8,국채보상운동기념공원,692
9,서울 경교장,1116
10,행주산성,996
11,금산 보리암(남해),2450
12,파주 임진각,228
13,강릉 경포대,1513
14,경주 대릉원 일원,76
15,외암민속마을,112
16,사성암(구례),798
17,경주 불국사 ,5744
18,삼성산성지,82
19,보은 법주사,1293
20,동국사(군산),1441
21,북촌한옥마을,4488
22,순천 낙안읍성,2078
23,경주 첨성대,5517
24,미황사,500
25,안동 하회마을 ,2503
26,수원 화성,2157
27,오죽헌,3165
28,선운사(고창),21
29,월정사·월정사 전나무숲,1108
30,용연사(대구),65
31,낙산사,4280
32,공주 공산성 ,2065
33,담양 소쇄원,1720
34,덕수궁,4478
35,판문점,2078
36,한국민속촌,5261
37,청와대사랑채,1190
38,창덕궁과 후원 ,2391
39,고창읍성,1259
40,경주 양동마을 ,988
41,경주 교촌마을,767
42,양림역사문화마을,70
43,낙화암,420
44,선암사,1760
45,영주 무섬마을,1080
46,해인사,1944
47,부여 가림성,452
48,방화수류정(동북각루),1030
49,보문사,1677
50,강화 덕진진,204
51,월화원,666
52,경주 석굴암 ,309
53,창경궁,4331
54,간월암,349
55,강릉 선교장,951
56,천마총,456
57,해저터널,689
58,탄금대공원,90
59,농암종택,196
60,경주 문무대왕릉,1523
61,공주 송산리 고분군과 무령왕릉,454
62,백양사,71
63,도동서원,1305
64,청풍문화재단지,948
65,광한루원,2364
66,종묘 ,1463
67,군산 신흥동 일본식가옥,1702
68,경기전,535
69,성읍민속마을,918
70,경주 계림,361
71,광화문,2505
72,삼성궁,2079
73,만휴정,489
74,통도사,3777
75,여주 영릉,791
76,경희궁,750
77,내소사,4
78,서울 구 벨기에영사관,3
79,개심사,1696
80,대관령 황태덕장마을,35
81,천은사,84
82,설악산 권금성,0
83,익산 미륵사지,581
84,무량사,288
85,도라전망대,121
86,방조어부림,27
87,강화평화전망대,438
88,도산서원 ,1054
89,캠프 그리브스,110
90,빙계서원,21
91,국립서울현충원,1788
92,담양 명옥헌 원림,677
93,배론성지,398
94,DMZ 생태평화공원,40
95,영월 장릉,661
96,반구대암각화,0
97,연천 호로고루,299
98,대흥사,714
99,보성 벌교 홍교,60
100,강화 고인돌 유적 ,288
101,서봉사(대구),7
102,다산초당,550
103,대견사,0
104,여수 선소유적,42
105,대방진굴항,153
106,봉은사,2640
107,신흥사,545
108,제3땅굴,128
109,금선사(서울),32
110,진천 농다리,1122
111,전남 담양 창평 ,17
112,길상사(서울),2260
113,천진암 성지,0
114,안면암(태안),818
115,부인사(대구),81
116,화엄사,1800
117,분오리돈대,163
118,나주 금성관,296
119,여수 진남관,649
120,김제 벽골제,536
121,구인사(단양),2
122,남사예담촌,0
123,화진포의 성(김일성별장),397
124,마곡사,1852
125,쌍계사(하동),158
126,제2땅굴(철원),78
127,진주성,1978
128,예천 초간정,133
129,다산유적지(남양주),798
130,마이산 탑사,975
131,경주 독락당,26
132,1.21 무장공비 침투로,0
133,고성 왕곡마을,380
134,오목대와 이목대,1104
135,인헌왕후,0
136,천학정/문암포구,192
137,의성 금성산 고분군,38
138,전주전동성당,3092
139,최참판댁,1238
140,경주역사유적지구,92
141,보성 강골마을,33
142,북촌 8경,137
143,병산서원 ,1015
144,김유정 문학촌,920
145,대구동화사,805
146,당항포관광지,216
147,전주 풍패지관,88
148,분황사,546
149,육신사,161
150,서오릉 ,565
151,솔뫼성지,572
152,작천정계곡,240
153,북지장사,73
154,풍남문,677
155,옻골마을,190
156,남해 관음포 이충무공 유적,66
157,백담사,606
158,숭례문,1126
159,갑곶돈대,191
160,범어사,1461
161,용문사,1502
162,죽주산성,116
163,영남루,1017
164,청송 송소고택,262
165,금정산성,192
166,황순원문학촌 소나기마을,433
167,성륜사,32
168,충주 미륵대원지,101
169,철원 평화전망대,84
170,상원사,624
171,대원군별장,10
172,임진각관광지평화누리자유의다리,48
173,왕궁리유적 ,291
174,운림산방,467
175,김제금산사,769
176,이천도예마을,54
177,봉선사,859
178,정암사,300
179,서울 약현성당,380
180,증심사,239
181,정혜사,1
182,동구릉 ,630
183,석남사,565
184,삼지내마을,116
185,수덕사,1652
186,계룡산도예촌,13
187,담양 금성산성,204
188,청양 다락골 줄무덤 성지,0
189,불국사,5750
190,정읍화호리구일본인 농장 가옥,3
191,다솔사응진전,0
192,수원화성박물관,481
193,문의문화재단지,457
194,서울 명동성당,1734
195,안동 임청각,48
196,용암서원,5
197,부여 능산리 고분군 ,167
198,고창 고인돌 유적,69
199,현충사,1626
200,서삼릉희릉,0
201,부여 정림사지 오층석탑 ,261
202,안일사,42
203,제주민속촌,1310
204,백제불교최초도래지,43
205,몽촌토성,522
206,성락원,38
207,양주 회암사지,176
208,만해한용운심우장,314
209,추사김정희선생고택,380
210,청주 상당산성,1054
211,홍유릉,0
212,노적봉,170
213,나주 목사내아,75
214,죽서루,515
215,봉원사,328
216,운현궁,1205
217,미리내 성지,397
218,합덕성당,330
219,심곡서원,98
220,통영 세병관,291
221,불갑사(불교),1108
222,노동당사,708
223,고성화암사,39
224,청평사,976
225,심청한옥마을,131
226,고산 윤선도 유적지,128
227,예천 삼강주막,128
228,성주 한개마을,86
229,불영사,28
230,동학사,1318
231,칠장사,315
232,옥천암,57
233,백운사,57
234,정북동 토성,555
235,성화사,0
236,백련사,369
237,허균.허난설헌생가터,312
238,수타사(홍천),850
239,세연정(완도),31
240,운문사,1502
241,영양 두들마을,21
242,신라역사과학관,61
243,시인이상화고택,372
244,구례 운조루 고택,299
245,국립대전현충원,734
246,와우정사,260
247,고운사,287
248,문수산성,117
249,부석사,2290
250,칠불사,129
251,선암사,1770
252,봉정사,560
253,불로동 고분군,373
254,전구형왕릉,115
255,월봉서원,89
256,연천전곡리유적토층전시관,4
257,강원감영,249
258,남양성모성지,388
259,직지사,1532
260,무위사,0
261,은해사,379
262,사촌전통마을,66
263,필암서원 ,142
264,적성산성,43
265,전주향교,924
266,촉석루,692
267,구룡사,519
268,의릉,129
269,태안사,156
270,미래사,379
271,봉화 닭실마을,147
272,관수옥과 초량왜관 터,2
273,개평한옥마을,199
274,화성정용채가옥,22
275,천왕사,329
276,아라리촌,319
277,영국사,229
278,신숭겸장군유적,179
279,정릉,440
280,융건릉,660
281,숙정문,71
282,조계사,1629
283,백련사,369
284,수종사,1047
285,골굴사,275
286,돈암서원 ,300
287,강천사,355
288,화순고인돌유적 ,98
289,용암사,9
290,삼가향교,2
291,선진리성,295
292,강화초지진,405
293,포석정,224
294,영휘원,127
295,숭인원,18
296,연천 경순왕릉,72
297,생초국제조각공원,168
298,수승대,62
299,추사고택,380
300,문수암,158
301,철암탄광역사촌,227
302,구 보성여관,366
303,요선정,129
304,태종사,1
305,옥룡사지,105
306,완주송광사대웅전,4
307,한밤마을 돌담길,225
308,봉정암(인제),90
309,각원사,644
310,광성보,599
311,처용암,32
312,이성산성,0
313,보령 성주사지,151
314,경원선 철도중단점,4
315,노무현 대통령 생가,606
316,흥국사(여수),165
317,속초 조양동선사유적,33
318,건봉사,178
319,관음사(창녕),6
320,강화고려궁지,469
321,백련사(무주),113
322,연미정,93
323,문수암 (산청),9
324,태릉,231
325,강진영랑생가,389
326,창원정씨종가,0
327,고하도이충무공유적,24
328,서울 석촌동 고분군,27
329,수국사(서울),96
330,갈매못순교성지,128
331,관촉사(논산),595
332,정혜사(전주),48
333,능인선원,0
334,청암사(김천),13
335,항파두리 항몽 유적,1450
336,수리치골 성지,0
337,문헌서원,148
338,왕인박사마을,0
339,수리사(경기),0
340,오봉산 석굴암,0
341,남계서원 ,71
342,낙산사 의상대,149
343,금용사(대구),12
344,불회사(나주),5
345,영주암(부산),7
346,대흥동헌,88
347,칠탄서원,0
348,장육사,30
349,규봉암(화순),53
350,무성서원 ,137
351,척판암(부산),0
352,정읍 피향정,102
353,보은 삼년산성,168
354,보경사,0
355,군위 아미타여래삼존 석굴,104
356,사명대사 생가지,45
357,금둔사,251
358,장흥 회령진성,17
359,천안 유관순 열사 유적,108
360,대한민국 수준원점,3
361,파주 삼릉 ,217
362,충렬사,4
363,희방사(영주),98
364,용주사(화성),6
365,통영 삼도수군통제영,119
366,대승사(문경),2
367,선비촌,111
368,서울 구 러시아공사관,114
369,척주동해비 및 평수토찬비,14
370,월봉서원,0
371,황희선생유적지,74
372,승동교회,3
373,정몽주 동상,6
374,감곡매괴성모순례지성당,268
375,관음사(무주),1
376,오산 독산성과 세마대지,249
377,흥륜사(인천),94
378,우암사적공원,335
379,달성하목정,128
380,애은당고택,0
381,사우정고택,0
382,용계정,19
383,발산리 석등,6
384,김포 덕포진,165
385,서암정사(함양),220
386,태백산 천제단,0
387,국립4.19민주묘지,113
388,청룡사(충주),0
389,울주 천전리 각석,0
390,적상산사고지,18
391,비암사(세종),236
392,법륜사,116
393,고모산성,286
394,청량사(봉화),388
395,개암사,269
396,충렬사,4
397,단양 금굴 구석기유적지,0
398,신흥사(완도),2
399,중흥사(광양),16
400,팔용산 돌탑,0
401,약천사(제주),0
402,아산 맹씨 행단,132
403,창의문(자하문),210
404,안국사(무주),181
405,성경전래지 기념관,94
406,쌍봉사(화순),134
407,제주 삼성혈,760
408,대원사(보성),0
409,오웬기념각,41
410,중명전,274
411,일붕사(의령),256
412,수어장대,212
413,용흥궁,233
414,울진 평해황씨 해월종택,3
415,서산 마애여래삼존상,463
416,삼광사,1078
417,광한루,2365
418,금당실마을,51
419,고성 문암리 유적,1
420,양주 온릉 ,32
421,구산성지,58
422,인천일본제58은행지점,9
423,운주산성,23
424,관덕정(제주),574
425,남양주 광릉,307
426,홍법사(부산),188
427,단양 향산리 삼층석탑,0
428,관음사(대구),9
429,안동민속촌,91
430,법흥사(영월),250
431,?담양 송강정,60
432,군산 임피역사,225
433,대전 계족산성,146
434,고령 대가야유적지,3
435,양평 구둔역,711
436,남선창고터,5
437,백마강,43
438,5.18 민주광장,0
439,수성당,0
440,남원 만인의총,97
441,강화 서도 중앙교회,0
442,남도한옥민박마을,1
443,여주 고달사지,127
444,순창고추장민속마을,122
445,양림동 선교사 묘지,6
446,대구향교,143
447,월정리역,0
448,김룡사(문경),134
449,당포성,115
450,경주 오릉,283
451,고창 무장현 관아와 읍성,86
452,법주사,1293
453,독립문,355
454,강성서원,3
455,장성 입암산성,20
456,망양정,230
457,목포근대역사관 2관,199
458,서울 선릉과 정릉,923
459,도마령,347
460,송광사,1042
461,휴휴암,1707
462,소수서원,827
463,여주신륵사,1531
464,청간정,493
465,이영춘가옥,80
466,청령포,1274
467,풍수원성당,589
468,파주이이유적,222
469,아산 공세리성당,1750
470,전등사,1913
471,충의사(예산),176
472,망월사,175
473,사천읍성,44
474,계백장군 유적지,77
475,삼막사,237
476,대한성공회 강화성당,506
477,산청·함양사건 추모공원,13
478,포항 장기읍성,69
479,대각사(부산),57
480,일산밤가시초가,41
481,능허대지,50
482,서상돈 고택,373
483,정지용 생가,3444
484,환구단,196
485,국립 5.18 민주묘지,251
486,칠곡 가산산성 및 가산바위,113
487,덕수궁 대한문,488
488,정혜사(순천),2078
489,용천사(청도),30
490,금당사(진안),72
491,예산 임존성,39
492,완도 청해진 유적,177
493,풍계서원,2
494,용화사(고창),0
495,강릉향교,59
496,함안 말이산 고분군,48
497,향산사(무주),2
498,장안사(부산),6
499,현등사(가평),0
500,백운사(의왕),57
501,월송정,305
502,화암사(완주),0
503,하우현성당,131
504,부산 복천동 고분군,90
505,서산 유기방가옥,963
506,강릉 굴산사지,0
507,"경주 무열왕릉, 태종무열왕릉비",47
508,청도 석빙고,61
509,함안 채미정,19
510,불암사(남양주),89
511,환벽당,149
512,수로왕릉,666
513,진도 남도진성,100
514,진천 배티 성지,149
515,단양 온달산성,5
516,명성황후 생가,102
517,미타사(음성),97
518,광명 영회원(민회빈),0
519,이훈동 정원,79
520,정토사(성남),22
521,논산명재고택,232
522,흥국사(남양주),4
523,이효석문화마을,329
524,경주 김유신묘,378
525,도리사(구미),381
526,괴시리 전통마을,150
527,영덕 대소산 봉수대,15
528,망해사(김제),5
529,성암사(부산),5
530,연천 숭의전지,151
531,순창장류박물관,79
532,만귀정,55
533,제4땅굴,69
534,연풍성지,68
535,창녕 진양하씨 고택,9
536,등명락가사(강릉),20
537,이기붕별장,88
538,경희궁 숭정전,0
539,악양루,103
540,모명재,68
541,만해마을,214
542,연천역 급수탑,44
543,강진 병영마을 옛 담장,7
544,무진정(함안),339
545,상원사(원주),32
546,봉곡사,216
547,행계서원,0
548,모평마을,10
549,내원사(양산),14
550,구례 석주관성,20
551,약사사(서울),0
552,자산서원,3
553,약사사,0
554,한재당,0
555,강화산성,5
556,인왕사,22
557,창원 진해우체국,58
558,약사암,0
559,갑사,949
560,해미순교성지,177
561,낙빈서원,4
562,성주 세종대왕자 태실,151
563,박정희 대통령 생가,183
564,보탑사,632
565,고성 어명기 고택,17
566,임고서원,368
567,영양 주실마을,59
568,약사사,66
569,내원정사,80
570,최순우 옛집,196
571,백산서원,0
572,천황사,29
573,담양 식영정,235
574,부산자유회관,0
575,화순적벽,134
576,남악서원,9
577,반곡서원,11
578,성베네딕도회 왜관수도원,29
579,계룡 사계고택,27
580,하강서원,11
581,바우덕이 묘,9
582,은적사,29
583,인천도호부청사,3
584,운천사마애여래좌상,4
585,초량교회,56
586,파계사,177
587,나주향교,3
588,태화루,0
589,보은 속리 정이품송,266
590,기장향교,25
591,옥천사,139
592,정암루,120
593,서울 풍납동 토성,93
594,대조사,1
595,좌수영성지,6
596,경주 배동 삼릉,220
597,김해 분산성,188
598,옥산서원,318
599,국청사,168
600,충주 관아공원,62
601,금탑사,0
602,우일선 선교사 사택,87
603,월정사,1898
604,정읍 황토현 전적,43
605,삼화사,148
606,망해암,221
607,영월 정양산성,0
608,왕인박사유적지,379
609,청량사,388
610,군산 개정면 구 일본인농장 창고,5
611,만해 한용운선생 생가지,163
612,최승효가옥,41
613,묘각사,42
614,강원 영월 김삿갓,67
615,고창신재효고택,52
616,서계박세당 사랑채,18
617,황산전통한옥마을,24
618,한티 순교성지,0
619,남평문씨본리세거지,747
620,창덕궁 인정문,14
621,청계사,407
622,금산교회,84
623,교동향교,110
624,반야사,314
625,백련암,0
626,용문사,1502
627,무주 지전마을 옛 담장,14
628,알뜨르비행장,284
629,서산 보원사지,137
630,홍룡사,355
631,고양 구 일산역사,37
632,제물포구락부,2
633,구미 채미정,72
634,익산 춘포역사,291
635,용문사,1502
636,관악산 낙성대공원,400
637,하회 겸암정사,50
